,relationship,first_name,second_name,co_bills,co_bills_status,co_bills_total
25288,Stephen HersheyThomas Miller,Stephen Hershey,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164762, 1164738, 1164686, 1164698, 1164702, 1164630, 1164758, 1164634, 1164742, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[2, 1, 1, 1, 1, 2, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",23
12517,Matt MorganMichael Busch,Matt Morgan,Michael Busch,"[1147697, 1147689, 1147682, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1170151, 1188814, 1194036, 1194034, 1243029]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3]",23
6999,Michael BuschPaul Corderman,Michael Busch,Paul Corderman,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1170151, 1194036, 1194034]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",23
11014,Michael BuschSusan Krebs,Michael Busch,Susan Krebs,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1170390, 1170270, 1170178, 1170404, 1170465, 1170151, 1188814, 1194036, 1194034, 1243029]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3]",23
24466,Johnny SallingThomas Miller,Johnny Salling,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164762, 1164738, 1164682, 1164686, 1164698, 1164702, 1164630, 1164634, 1164742, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196860]","[2, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1]",22
25286,Bob CassillyThomas Miller,Bob Cassilly,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164762, 1164738, 1164682, 1164686, 1164698, 1164702, 1164630, 1164634, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[2, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",22
25291,Bryan SimonaireThomas Miller,Bryan Simonaire,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164738, 1164682, 1164686, 1164698, 1164702, 1164630, 1164634, 1164742, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[2, 1, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",22
13331,Michael BuschTeresa Reilly,Michael Busch,Teresa Reilly,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1170390, 1170178, 1170404, 1170324, 1170465, 1170151, 1194036, 1194034]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21
13328,Michael BuschMichael Malone,Michael Busch,Michael Malone,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167423, 1167640, 1167381, 1167488, 1167467, 1167997, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1170151, 1194036, 1194034]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21
7954,Michael BuschSusan McComas,Michael Busch,Susan McComas,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1170390, 1170270, 1170178, 1170404, 1170465, 1170151, 1194036, 1194034]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21
2715,Jerry ClarkMichael Busch,Jerry Clark,Michael Busch,"[1147697, 1147689, 1147682, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1170151, 1194034]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",21
2500,Barrie CilibertiMichael Busch,Barrie Ciliberti,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1170151]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1]",21
13318,Christopher AdamsMichael Busch,Christopher Adams,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1194036, 1194034]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21
24909,Antonio HayesJill Carter,Antonio Hayes,Jill Carter,"[1173055, 1173118, 1180403, 1185025, 1186563, 1188904, 1188615, 1188818, 1188603, 1188884, 1188784, 1188887, 1188865, 1188835, 1188974, 1188576, 1188966, 1208156, 1208218, 1208177, 1229639]","[3, 1, 3, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1]",21
13320,Michael BuschSteven Arentz,Michael Busch,Steven Arentz,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170270, 1170178, 1170404, 1170465, 1170151]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1]",20
13324,Kevin HornbergerMichael Busch,Kevin Hornberger,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167423, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1170390, 1170178, 1170404, 1170324, 1170465, 1194036]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",20
25290,Justin ReadyThomas Miller,Justin Ready,Thomas Miller,"[1147702, 1147694, 1147700, 1147703, 1164682, 1164686, 1164698, 1164702, 1164630, 1164758, 1164634, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[2, 1, 1, 1, 1, 2, 2, 3, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",20
13323,Michael BuschWayne Hartman,Michael Busch,Wayne Hartman,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1170151]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1]",20
4810,Charles OttoMichael Busch,Charles Otto,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170178, 1170404, 1170465, 1170151]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1]",19
24848,Clarence LamRonald Young,Clarence Lam,Ronald Young,"[1164714, 1167987, 1173081, 1180348, 1180367, 1180404, 1180337, 1188877, 1188679, 1188791, 1188725, 1188751, 1188758, 1188736, 1188664, 1188772, 1203042, 1203062, 1202989]","[3, 2, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 3, 1]",19
13319,Carl AndertonMichael Busch,Carl Anderton,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170270, 1170178, 1170404, 1170465, 1170151]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1]",19
8179,David MoonLorig Charkoudian,David Moon,Lorig Charkoudian,"[1157077, 1157081, 1157070, 1157082, 1157087, 1161304, 1177640, 1177661, 1188698, 1188641, 1191496, 1196285, 1196209, 1196269, 1196671, 1196579, 1196818, 1196539, 1209481]","[1, 3, 1, 3, 1, 3, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 2, 1, 1]",19
24894,Jill CarterMary Washington,Jill Carter,Mary Washington,"[1151499, 1172955, 1172977, 1182277, 1185025, 1184981, 1186576, 1186563, 1188826, 1188615, 1188841, 1188887, 1188865, 1188689, 1188835, 1188988, 1188576, 1188966, 1205125]","[3, 3, 2, 2, 3, 1, 2, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2]",19
13321,Jason BuckelMichael Busch,Jason Buckel,Michael Busch,"[1147697, 1147689, 1147682, 1167661, 1167619, 1167402, 1167640, 1167488, 1167467, 1167446, 1167575, 1170390, 1170178, 1170404, 1170324, 1170465, 1170151, 1194036, 1194034]","[1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",19
13332,April RoseMichael Busch,April Rose,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1170390, 1170270, 1170178, 1170404, 1170465, 1170151]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",19
8515,Michael BuschMike Mckay,Michael Busch,Mike Mckay,"[1147697, 1147689, 1147682, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465, 1170151]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",19
3984,Jay JacobsMichael Busch,Jay Jacobs,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170178, 1170404, 1170465, 1170151]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1]",19
25710,Jeff WaldstreicherWilliam Smith,Jeff Waldstreicher,William Smith,"[1168029, 1177768, 1180354, 1180389, 1180322, 1180329, 1180298, 1182328, 1182280, 1184994, 1184933, 1186558, 1188708, 1188697, 1188807, 1188956, 1188756, 1188842, 1205515]","[3, 1, 1, 1, 3, 1, 3, 3, 2, 1, 1, 3, 3, 3, 1, 1, 3, 1, 1]",19
24914,Jill CarterWilliam Smith,Jill Carter,William Smith,"[1168029, 1173073, 1172955, 1172977, 1180389, 1180322, 1180329, 1182277, 1185025, 1186576, 1188826, 1188615, 1188708, 1188697, 1188821, 1188842, 1188858, 1198196, 1208156]","[3, 3, 3, 2, 1, 3, 1, 2, 3, 2, 2, 1, 3, 3, 1, 1, 3, 1, 1]",19
24518,Andrew SerafiniThomas Miller,Andrew Serafini,Thomas Miller,"[1164762, 1164682, 1164686, 1164698, 1164702, 1164630, 1164758, 1164634, 1164674, 1164722, 1164718, 1164734, 1164602, 1164694, 1168007, 1188650, 1196639, 1196860]","[1, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",18
13329,Johnny MautzMichael Busch,Johnny Mautz,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170178, 1170404, 1170324, 1170465]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1]",18
5389,David MoonVaughn Stewart,David Moon,Vaughn Stewart,"[1157077, 1157086, 1157084, 1157081, 1157070, 1157087, 1162837, 1163024, 1163000, 1170244, 1177640, 1188881, 1188763, 1191496, 1194186, 1196579, 1197011, 1196539]","[1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",18
25473,Justin ReadyMichael Hough,Justin Ready,Michael Hough,"[1151506, 1153908, 1153911, 1153907, 1157067, 1164642, 1164626, 1164638, 1167991, 1168056, 1170631, 1188741, 1188801, 1188897, 1188634, 1205393, 1208130, 1212542]","[2, 3, 2, 1, 1, 1, 2, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1]",18
13326,Michael BuschTrent Kittleman,Michael Busch,Trent Kittleman,"[1147697, 1147689, 1147682, 1147691, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1167575, 1167997, 1170390, 1170178, 1170404, 1170465, 1170151]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1]",18
13333,Haven ShoemakerMichael Busch,Haven Shoemaker,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167661, 1167619, 1167402, 1167640, 1167381, 1167488, 1167467, 1167446, 1170390, 1170178, 1170404, 1170324, 1170465, 1170151]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1]",18
7192,Dan CoxMichael Busch,Dan Cox,Michael Busch,"[1147697, 1147689, 1147682, 1147691, 1167619, 1167402, 1167640, 1167381, 1167488, 1167446, 1167575, 1167997, 1170390, 1170270, 1170178, 1170404, 1170324, 1170465]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1]",18
25238,Delores KelleyShirley NathanPulliam,Delores Kelley,Shirley NathanPulliam,"[1157088, 1162376, 1167969, 1167989, 1170646, 1170650, 1170636, 1180324, 1182336, 1184947, 1184951, 1186567, 1188669, 1188931, 1191450, 1223676, 1236086]","[1, 3, 1, 3, 2, 1, 1, 1, 3, 1, 3, 3, 3, 1, 1, 1, 1]",17
24875,Paul PinskyRonald Young,Paul Pinsky,Ronald Young,"[1167987, 1173081, 1172988, 1182295, 1182289, 1182271, 1184934, 1186597, 1186528, 1186609, 1186583, 1186544, 1188999, 1188589, 1188788, 1194189, 1173010]","[2, 3, 3, 1, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 2, 1, 1]",17
24852,Ronald YoungShirley NathanPulliam,Ronald Young,Shirley NathanPulliam,"[1135008, 1135063, 1135026, 1164714, 1168046, 1167987, 1172947, 1173081, 1173148, 1175017, 1180337, 1182336, 1184947, 1184951, 1186567, 1188600, 1203066]","[1, 1, 1, 3, 1, 2, 1, 3, 1, 1, 1, 3, 1, 3, 3, 3, 1]",17
1159,David MoonVanessa Atterbeary,David Moon,Vanessa Atterbeary,"[1157077, 1157086, 1157081, 1161304, 1162837, 1162744, 1163024, 1163000, 1191524, 1191457, 1196816, 1196472, 1196861, 1196865, 1196579, 1196693, 1196825]","[1, 1, 3, 3, 3, 3, 1, 1, 2, 3, 2, 2, 1, 1, 1, 3, 2]",17
24965,Brian FeldmanDelores Kelley,Brian Feldman,Delores Kelley,"[1167969, 1167989, 1168051, 1170646, 1175007, 1182337, 1186570, 1186574, 1188672, 1188696, 1188969, 1188669, 1188567, 1188660, 1191529, 1203177]","[1, 3, 3, 2, 3, 4, 1, 3, 3, 3, 3, 3, 3, 2, 3, 2]",16
8115,David MoonErek Barron,David Moon,Erek Barron,"[1135300, 1157077, 1157084, 1157081, 1161304, 1163000, 1180305, 1194119, 1196269, 1196720, 1196930, 1196376, 1196388, 1196436, 1197016, 1209481]","[3, 1, 3, 3, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1]",16
25085,Clarence LamPaul Pinsky,Clarence Lam,Paul Pinsky,"[1180348, 1180404, 1182297, 1182295, 1182271, 1184934, 1186528, 1186609, 1186544, 1188791, 1188758, 1188999, 1188589, 1188788, 1194189, 1173010]","[1, 1, 1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 1, 1]",16
18985,Nick MosbyStephanie Smith,Nick Mosby,Stephanie Smith,"[1167533, 1184941, 1185042, 1188747, 1188921, 1196992, 1196401, 1196471, 1196577, 1196948, 1196610, 1196725, 1196561, 1196765, 1215410, 1228216]","[3, 3, 3, 3, 3, 2, 3, 3, 1, 2, 2, 1, 1, 3, 3, 3]",16
24860,Michael HoughRonald Young,Michael Hough,Ronald Young,"[1168056, 1167996, 1170637, 1175015, 1174971, 1174984, 1174956, 1175019, 1180326, 1180337, 1188741, 1188801, 1188542, 1188634, 1205408]","[1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 1, 1, 1, 1, 3]",15
25827,Benjamin KramerDelores Kelley,Benjamin Kramer,Delores Kelley,"[1168051, 1170646, 1180395, 1182312, 1185049, 1186606, 1186570, 1188696, 1188868, 1188621, 1188669, 1188931, 1188660, 1191450, 1203177]","[3, 2, 1, 1, 1, 1, 1, 3, 3, 3, 3, 1, 2, 1, 2]",15
1160,Emily ShettyVanessa Atterbeary,Emily Shetty,Vanessa Atterbeary,"[1170416, 1170376, 1177697, 1191524, 1191457, 1191509, 1191479, 1196816, 1196472, 1196861, 1196865, 1196723, 1196532, 1196693, 1196825]","[3, 1, 1, 2, 3, 3, 2, 2, 2, 1, 1, 1, 3, 3, 2]",15
18621,Jheanelle WilkinsNick Mosby,Jheanelle Wilkins,Nick Mosby,"[1157071, 1157083, 1173066, 1177487, 1184941, 1185042, 1188980, 1188846, 1188613, 1196992, 1196577, 1196725, 1196561, 1196765, 1196730]","[3, 3, 2, 1, 3, 3, 1, 1, 1, 2, 1, 1, 1, 3, 2]",15
25743,Jeff WaldstreicherSusan Lee,Jeff Waldstreicher,Susan Lee,"[1164690, 1164746, 1182328, 1186558, 1188986, 1188962, 1188644, 1188923, 1188979, 1188629, 1188939, 1188757, 1188943, 1188680, 1205515]","[3, 1, 3, 3, 1, 1, 1, 2, 3, 3, 1, 3, 3, 3, 1]",15
24916,Jill CarterSusan Lee,Jill Carter,Susan Lee,"[1164746, 1182277, 1185025, 1186576, 1188962, 1188923, 1188826, 1188615, 1188824, 1188979, 1188939, 1188757, 1188943, 1188680, 1208156]","[1, 2, 3, 2, 1, 2, 2, 1, 1, 3, 1, 3, 3, 3, 1]",15
8172,David MoonGabriel Acevero,David Moon,Gabriel Acevero,"[1157077, 1157084, 1157081, 1157070, 1157087, 1177640, 1196269, 1196671, 1196579, 1196939, 1196669, 1196687, 1196851, 1196539, 1196609]","[1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",15
6187,Charles SydnorDavid Moon,Charles Sydnor,David Moon,"[1135322, 1157077, 1157086, 1157081, 1161304, 1162837, 1162744, 1163024, 1173033, 1177686, 1182309, 1185030, 1196579, 1196539, 1209481]","[2, 1, 1, 3, 3, 3, 3, 1, 3, 1, 1, 1, 1, 1, 1]",15
25712,Paul PinskyWilliam Smith,Paul Pinsky,William Smith,"[1168029, 1180389, 1182295, 1184934, 1184994, 1184933, 1186528, 1186609, 1186544, 1188999, 1188842, 1194189, 1198196, 1173010]","[3, 1, 1, 1, 1, 1, 3, 3, 3, 3, 1, 1, 1, 1]",14
8675,Erek BarronJoseline PenaMelnyk,Erek Barron,Joseline PenaMelnyk,"[1135300, 1161919, 1168058, 1167990, 1172925, 1177690, 1180305, 1182330, 1188810, 1196273, 1196658, 1196684, 1196855, 1196388]","[3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 2, 2, 1]",14
24833,Delores KelleyJoanne Benson,Delores Kelley,Joanne Benson,"[1157088, 1170646, 1180324, 1182312, 1182274, 1182332, 1185049, 1186570, 1186574, 1188696, 1188669, 1188660, 1191450, 1203177]","[1, 2, 1, 1, 1, 1, 1, 1, 3, 3, 3, 2, 1, 2]",14
5989,Brooke LiermanDavid Moon,Brooke Lierman,David Moon,"[1157077, 1157084, 1157081, 1157070, 1157087, 1161306, 1161285, 1161304, 1162744, 1163024, 1177640, 1191496, 1196535, 1196579]","[1, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3, 1]",14
14410,April RoseKevin Hornberger,April Rose,Kevin Hornberger,"[1180347, 1180312, 1184965, 1188596, 1196508, 1196784, 1196402, 1197033, 1197028, 1196931, 1196883, 1196619, 1196947, 1196758]","[1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",14
18498,Jheanelle WilkinsLorig Charkoudian,Jheanelle Wilkins,Lorig Charkoudian,"[1157071, 1157083, 1157069, 1157076, 1157080, 1157082, 1177487, 1188698, 1188641, 1188846, 1188613, 1196285, 1196209, 1196818]","[3, 3, 3, 3, 1, 3, 1, 1, 3, 1, 1, 3, 1, 2]",14
